,Unnamed: 0,user_id,group_age,"('amount_usd', 'charity')","('amount_usd', 'culture')","('amount_usd', 'education')","('amount_usd', 'flat fee')","('amount_usd', 'food')","('amount_usd', 'fun')","('amount_usd', 'health')","('amount_usd', 'house')","('amount_usd', 'other')","('amount_usd', 'shopping')","('amount_usd', 'sports')","('amount_usd', 'supermarket')","('amount_usd', 'tech')","('amount_usd', 'transportation')","('amount_usd', 'travel')"
61,61,user_61,30-39,0.0,0.0,0.0,1073.81,139.60999999999999,154.85000000000002,5.3,5.79,1.94,20.39,0.0,146.26999999999998,0.0,36.43,437.63
62,62,user_62,50-59,0.0,50.47,0.0,156.54,273.97999999999996,36.62,35.019999999999996,0.0,27.229999999999997,57.379999999999995,0.0,15.05,0.0,52.91,0.0
63,63,user_63,30-39,,,,,,,,,,,,,,,
64,64,user_64,30-39,,,,,,,,,,,,,,,
65,65,user_65,30-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32,22.34,0.0,19.759999999999998,0.0,0.0,0.0
66,66,user_66,18-29,0.0,4.09,0.0,656.0699999999999,603.7600000000003,246.09000000000015,10.01,65.77,34.779999999999994,119.74,0.0,1271.710000000001,0.0,79.07,40.279999999999994
67,67,user_67,60+,0.0,6.3,0.0,100.92,671.6,184.53,0.0,0.0,0.0,186.82,0.0,421.20000000000005,0.0,118.44999999999999,929.8
68,68,user_68,18-29,20.26,17.02,0.0,667.01,1843.2000000000003,1080.2699999999998,14.93,0.0,31.580000000000002,80.61000000000001,0.0,338.33,0.0,410.3899999999999,63.7
69,69,user_69,18-29,0.0,13.45,0.0,0.0,118.39000000000001,17.02,0.0,4.6,0.0,58.57,0.0,182.82,109.56,2.38,0.0
70,70,user_70,30-39,182.17,308.25999999999993,0.0,341.22,841.2499999999999,102.9,0.0,93.6,221.14,672.37,0.0,280.53,0.0,95.27000000000001,237.07999999999998
71,71,user_71,40-49,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,user_72,18-29,0.0,1.56,0.0,201.10999999999999,76.00999999999999,0.0,0.0,10.21,5.98,15.919999999999998,0.0,31.540000000000003,0.0,1.86,214.56000000000006
73,73,user_73,30-39,0.0,0.0,0.0,17.02,295.26000000000005,43.6,68.18,0.0,34.04,58.0,0.0,139.2,0.0,6.529999999999999,54.86
74,74,user_74,18-29,,,,,,,,,,,,,,,
75,75,user_75,18-29,0.0,0.0,0.0,71.05999999999999,15.66,0.0,0.0,0.0,12.17,0.0,0.0,2.98,0.0,55.46,6.64
76,76,user_76,18-29,0.0,13.5,0.0,60.0,173.45999999999998,88.6,11.19,0.0,15.5,27.82,0.0,293.29999999999995,0.0,0.0,10.0
77,77,user_77,40-49,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,user_78,40-49,0.0,0.0,0.0,943.79,127.68,65.72,13.79,103.06,26.61,523.24,0.0,181.82999999999998,0.0,7.48,1180.92
79,79,user_79,40-49,0.0,0.0,0.0,0.0,6.24,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,user_80,18-29,0.0,0.0,0.0,349.14000000000004,211.21,127.96,0.0,0.0,3.56,3.36,0.0,99.28,0.0,94.95,53.00000000000001
81,81,user_81,18-29,0.0,51.21000000000001,4.75,256.55000000000007,700.78,0.97,0.0,5.26,113.44999999999997,48.88,7.94,471.0699999999999,0.0,256.63000000000005,321.23
82,82,user_82,30-39,0.0,66.84,0.0,25.89,614.67,73.98,45.66,0.0,8.25,1120.49,0.0,172.51,0.0,21.66,15.7
83,83,user_83,18-29,0.0,7.140000000000001,0.0,119.13999999999999,391.94999999999993,29.36,0.0,0.0,90.12,115.57,77.39,43.74,11.07,92.78,15.32
84,84,user_84,18-29,0.0,22.54,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,13.22,0.0,10.0,0.0
85,85,user_85,30-39,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,1.32,4.12,0.0,0.0,0.0,12.53,0.0
86,86,user_86,30-39,0.0,0.0,0.0,473.6000000000001,408.3799999999999,234.93,0.0,0.0,0.0,95.58000000000001,0.0,129.59,0.0,100.17,472.18000000000006
87,87,user_87,40-49,0.0,0.0,0.0,2120.2000000000003,715.92,1784.020000000002,37.87,30.47,1976.95,539.58,0.0,1324.0399999999997,160.24,1117.91,502.54999999999995
88,88,user_88,18-29,,,,,,,,,,,,,,,
89,89,user_89,18-29,0.0,0.0,0.0,2604.2999999999984,45.0,0.0,66.55000000000001,0.0,0.0,40.82,0.0,179.33999999999997,0.0,22.599999999999998,0.0
90,90,user_90,30-39,0.0,0.0,0.0,0.0,46.57,7.86,3.19,24.58,236.48999999999998,0.0,0.0,263.99,0.0,36.87,0.0
91,91,user_91,40-49,0.0,0.0,0.0,124.27,0.0,0.0,0.0,0.0,49.45,18.5,0.0,0.0,0.0,0.0,952.5000000000001
92,92,user_92,30-39,0.0,46.37,0.0,44.81999999999999,1299.2599999999995,0.0,53.13999999999999,9.12,68.75,120.07999999999998,5.19,315.03000000000003,0.0,243.49999999999997,1515.3
93,93,user_93,18-29,,,,,,,,,,,,,,,
94,94,user_94,18-29,0.0,0.0,0.0,0.0,3.0700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
95,95,user_95,18-29,,,,,,,,,,,,,,,
96,96,user_96,18-29,0.0,0.0,0.0,127.64999999999998,0.0,0.0,0.0,0.0,0.0,29.78,0.0,330.8400000000001,0.0,0.0,0.0
97,97,user_97,30-39,0.0,0.0,0.0,0.0,3.01,0.0,0.0,70.35000000000001,0.0,9.0,0.0,10.49,0.0,0.0,0.0
98,98,user_98,30-39,0.0,0.0,0.0,195.75,955.6,140.82000000000002,206.39000000000001,373.46000000000004,0.0,605.5600000000001,59.81,1365.7400000000005,11.91,295.26000000000005,418.49
99,99,user_99,18-29,0.0,22.98,0.0,0.0,129.56000000000003,36.45,9.92,3.7,0.0,69.22,0.0,119.71000000000002,0.0,85.14999999999998,32.43
100,100,user_100,30-39,0.0,0.0,4.44,425.66,152.76000000000002,42.55,20.47,0.0,14.13,204.74,0.0,587.6500000000001,0.0,0.0,607.74
101,101,user_101,40-49,0.0,0.0,0.0,199.73000000000002,983.7800000000002,285.89,195.98999999999998,0.0,1073.44,10.33,0.0,209.64999999999998,0.0,552.52,2909.76
102,102,user_102,18-29,0.0,0.0,0.0,25.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,59.629999999999995,0.0,0.0,0.0
103,103,user_103,40-49,0.0,0.0,0.0,0.0,139.27999999999997,14.39,0.0,0.0,0.0,4.48,0.0,288.27000000000004,0.0,4.01,544.5100000000001
104,104,user_104,50-59,0.0,0.0,0.0,0.0,81.97999999999999,0.0,0.0,0.0,0.0,0.0,0.0,31.69,0.0,0.0,644.65
105,105,user_105,30-39,,,,,,,,,,,,,,,
106,106,user_106,40-49,0.0,17.64,0.0,238.39,31.64,0.0,0.0,0.0,0.0,257.18,0.0,865.68,0.0,26.639999999999997,194.24
107,107,user_107,40-49,0.0,76.03,0.0,539.14,918.6799999999997,37.41,208.89,0.0,395.73999999999995,1426.7499999999998,175.74,678.9,0.0,592.97,849.0500000000001
108,108,user_108,18-29,0.0,203.92000000000002,0.0,524.6299999999999,777.1099999999998,248.71,111.21,12.75,297.79,1398.2,0.0,888.1999999999999,28.81,1006.9899999999994,151.97
109,109,user_109,30-39,,,,,,,,,,,,,,,
110,110,user_110,18-29,8.07,1108.8999999999999,16574.21,519.09,542.1199999999999,74.09,19.3,37.96,162.87,206.92000000000002,65.91,1863.71,28.86,46.44,766.61
111,111,user_111,18-29,0.0,120.57,1272.57,5186.850000000001,7428.6900000000005,5306.999999999999,77.87,791.83,2206.55,2865.109999999999,0.0,2126.4799999999996,272.7499999999999,2613.720000000001,2808.58
112,112,user_112,18-29,0.0,62.019999999999996,0.0,912.6700000000001,2981.97,583.75,186.07999999999998,16.62,33.46,191.59,0.0,563.2100000000002,0.0,62.8,38.95
113,113,user_113,18-29,0.0,632.26,32.4,1157.8599999999997,637.3399999999998,182.29999999999998,192.29000000000002,0.0,48.89,21.28,0.0,355.2399999999999,0.0,58.84,114.55000000000001
114,114,user_114,30-39,0.0,0.0,0.0,493.62,504.09000000000003,687.75,117.39000000000001,4.94,55.230000000000004,9.219999999999999,0.0,603.3399999999999,0.0,36.85,14.47
115,115,user_115,50-59,0.0,0.0,0.0,124.53,39.18,0.0,91.69,15.3,0.0,0.0,0.0,1205.23,0.0,0.0,1122.37
116,116,user_116,30-39,0.0,3240.6899999999996,0.0,0.0,0.0,20455.21999999999,0.0,0.0,0.0,0.0,0.0,1852.36,0.0,0.0,0.0
117,117,user_117,60+,0.0,0.0,0.0,488.87,165.81,0.0,192.08,39.25,36.41,241.7,0.0,0.0,0.0,0.0,694.0
118,118,user_118,30-39,0.0,0.0,0.0,85.1,20.5,4.95,0.0,0.0,1.89,0.0,0.0,37.83,0.0,32.06,0.0
119,119,user_119,40-49,0.0,9.52,3.06,114.7,94.54,14.55,10.969999999999999,8.86,42.55,61.88,0.0,284.38000000000005,0.0,26.49,0.0
120,120,user_120,30-39,0.0,0.0,0.0,0.0,20.42,1267.63,1.43,0.0,14.46,27.17,0.0,972.4,0.0,0.0,0.0
121,121,user_121,40-49,0.0,63.120000000000005,12.47,0.0,15.239999999999998,23.25,7.11,21.44,12.9,149.42,0.0,45.519999999999996,0.0,0.0,0.0
122,122,user_122,30-39,0.0,0.0,0.0,0.0,0.0,93.60999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,123,user_123,18-29,0.0,0.0,0.0,23.41,229.93000000000004,22.28,0.0,0.0,0.0,95.13000000000001,0.0,190.48000000000002,0.0,45.3,37.620000000000005
124,124,user_124,60+,0.0,0.0,0.0,5021.9800000000005,122.16999999999999,18.58,0.0,633.16,78.78999999999999,1020.3099999999998,0.0,775.9200000000001,0.0,0.0,90.56
125,125,user_125,40-49,0.0,0.0,0.0,0.0,37.57,135.74,0.0,0.0,0.0,182.17,0.0,21.509999999999998,0.0,13.85,115.68
126,126,user_126,30-39,,,,,,,,,,,,,,,
127,127,user_127,18-29,0.0,0.0,0.0,0.0,27.87,0.0,0.0,0.0,0.0,3.36,0.0,63.81,0.0,0.0,0.0
128,128,user_128,18-29,0.0,0.0,0.0,40.35,419.65999999999997,0.0,12.61,10.51,32.52,80.72,0.0,277.17,0.0,172.25,432.56
129,129,user_129,18-29,0.0,0.0,0.0,65.06,271.92,111.98,10.2,0.0,0.0,35.62,0.0,87.51,0.0,0.0,0.0
130,130,user_130,18-29,0.0,0.0,0.0,126.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,user_131,40-49,0.0,266.21999999999997,0.0,0.0,139.93,1.79,0.0,0.0,1.53,172.48000000000002,0.0,138.52,0.0,14.459999999999999,32.64
132,132,user_132,30-39,0.0,0.0,0.0,0.0,0.0,20.45,0.0,0.0,133.7,0.0,0.0,0.0,0.0,0.0,0.0
133,133,user_133,18-29,0.0,218.7,0.0,226.89,726.5600000000002,73.26,38.6,0.0,143.42999999999998,140.7,0.0,38.2,0.0,103.97,325.45000000000005
134,134,user_134,50-59,0.0,0.0,0.0,901.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,135,user_135,18-29,0.0,0.0,0.0,4.22,3.4,0.0,0.0,0.0,181.25000000000009,560.0,0.0,289.99000000000007,0.0,10.38,0.0
136,136,user_136,30-39,0.0,0.0,0.0,324.33,68.32,63.660000000000004,7.22,0.0,0.0,3.83,0.0,46.5,0.0,0.0,10.17
137,137,user_137,50-59,,,,,,,,,,,,,,,
138,138,user_138,18-29,0.0,0.0,0.0,8.51,36.93,0.0,0.0,15.49,0.0,8.76,0.0,100.35999999999999,2.54,0.0,0.0
139,139,user_139,30-39,0.0,170.77999999999997,0.0,416.86,34.769999999999996,34.0,23.2,0.0,2.48,70.38,0.0,68.13,0.0,46.290000000000006,118.11
140,140,user_140,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.13,0.0,0.0,17.31,0.0,0.0,0.0
141,141,user_141,40-49,0.0,0.0,0.0,8.95,0.0,0.0,7.97,6.15,0.54,32.74,0.0,42.52,0.0,0.0,0.0
142,142,user_142,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,23.2,0.0
143,143,user_143,30-39,0.0,0.0,0.0,200.0,118.86999999999999,12.99,6.78,0.0,2.7,0.0,0.0,113.16,0.0,0.0,0.0
144,144,user_144,18-29,0.0,11.46,0.0,0.0,16.53,8.6,1.13,0.0,0.0,36.81,48.34,67.83,0.0,24.59,5.37
145,145,user_145,18-29,,,,,,,,,,,,,,,
146,146,user_146,30-39,0.0,0.0,0.0,53.019999999999996,0.0,0.0,0.0,0.0,51.06,0.0,0.0,42.459999999999994,0.0,0.0,0.0
147,147,user_147,30-39,,,,,,,,,,,,,,,
148,148,user_148,18-29,0.0,2.64,0.0,127.66,190.67000000000004,0.0,73.74000000000001,5.36,0.0,124.67000000000002,0.0,412.37000000000006,0.0,0.0,0.0
149,149,user_149,30-39,0.0,0.0,0.0,60.14,40.69,0.0,0.0,0.0,14.0,11.0,0.0,29.240000000000002,0.0,14.0,0.0
150,150,user_150,40-49,0.0,0.0,0.0,9.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,151,user_151,60+,0.0,0.0,0.0,0.0,281.02,32.089999999999996,0.0,0.0,0.0,0.0,0.0,3.75,0.0,113.64000000000001,0.0
152,152,user_152,50-59,0.0,0.0,0.0,638.31,671.0899999999999,0.0,0.0,203.4,68.62,849.96,0.0,313.17,0.0,406.81,149.79
153,153,user_153,30-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.11,0.0,4.67,0.0,0.0,0.0
154,154,user_154,18-29,2.3,0.0,0.0,22.0,179.17000000000002,91.69,3.9800000000000004,1.0,35.5,78.27000000000001,0.0,126.49000000000001,0.0,74.98,3.74
155,155,user_155,40-49,0.0,0.0,0.0,943.4799999999998,622.7599999999999,0.0,0.0,117.78,8.19,702.12,0.0,2348.04,90.83,35.0,105.00999999999999
156,156,user_156,30-39,5.0,6.0,0.0,30.0,178.01000000000002,0.0,0.0,0.0,15.5,33.29,0.0,103.92,16.0,172.73999999999998,0.0
157,157,user_157,60+,,,,,,,,,,,,,,,
158,158,user_158,40-49,,,,,,,,,,,,,,,
159,159,user_159,30-39,0.0,0.0,0.0,0.0,203.28,0.0,0.0,0.0,0.0,77.47,123.99,79.19999999999999,0.0,60.93,1170.21
160,160,user_160,60+,0.0,0.0,0.0,350.46000000000004,8.53,202.01,0.0,0.0,0.0,84.35,0.0,34.589999999999996,0.0,0.0,1271.9199999999998
161,161,user_161,50-59,,,,,,,,,,,,,,,
162,162,user_162,30-39,,,,,,,,,,,,,,,
163,163,user_163,40-49,0.0,61.980000000000004,0.0,0.0,0.0,20.0,164.42,0.0,0.0,229.39000000000001,0.0,425.2,199.98,0.0,0.0
164,164,user_164,18-29,,,,,,,,,,,,,,,
165,165,user_165,60+,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,166,user_166,30-39,,,,,,,,,,,,,,,
167,167,user_167,18-29,0.0,16.65,17.7,368.62,319.88000000000005,161.70000000000002,17.6,27.6,13.35,18.07,0.0,453.71000000000004,0.0,196.3,23.14
168,168,user_168,50-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,126.75,0.0,0.0,0.0
169,169,user_169,30-39,10.469999999999999,48.629999999999995,0.0,824.85,1265.6399999999999,318.49,197.93000000000004,10.09,158.24,1229.9599999999998,14.55,1373.5999999999995,21.4,165.76,1006.01
170,170,user_170,50-59,0.0,0.0,0.0,81.12,117.14999999999999,0.0,0.0,0.0,0.0,0.0,0.0,22.74,0.0,75.80000000000001,87.3
171,171,user_171,50-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.34
172,172,user_172,40-49,0.0,122.85,0.0,455.81,439.56,298.81,0.0,0.0,0.0,215.59,0.0,432.78,0.0,0.0,342.83
173,173,user_173,30-39,0.0,0.0,0.0,1.77,10.81,15.5,143.16,7.45,9.68,36.82,0.0,232.44000000000003,0.0,9.89,0.0
174,174,user_174,50-59,0.0,10.74,0.0,190.31000000000003,175.49999999999997,10.93,1.11,9.23,11.6,17.99,0.0,164.13,0.0,55.849999999999994,784.31
175,175,user_175,30-39,0.0,0.0,0.0,0.0,220.01999999999998,178.37,0.0,0.0,0.0,0.0,0.0,6.93,0.0,38.3,0.0
176,176,user_176,40-49,,,,,,,,,,,,,,,
177,177,user_177,18-29,0.0,0.0,0.0,221.97,0.0,0.0,0.0,0.0,0.0,7.38,0.0,5.9,0.0,0.0,0.0
178,178,user_178,40-49,,,,,,,,,,,,,,,
179,179,user_179,30-39,,,,,,,,,,,,,,,
180,180,user_180,18-29,0.0,0.0,0.0,22.119999999999997,167.13,17.02,0.0,30.51,39.52,37.87,0.0,14.16,31.56,0.0,0.0
181,181,user_181,40-49,0.0,0.0,0.0,82.82,49.60000000000001,0.0,3.3,0.0,0.0,34.79,243.37,50.22,0.0,0.0,0.0
182,182,user_182,30-39,1.95,0.0,0.0,1.67,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13.749999999999998,0.0,0.0,0.0
183,183,user_183,50-59,0.0,0.0,0.0,669.48,111.25,0.0,0.0,0.0,0.0,0.0,0.0,12.31,0.0,16.0,0.0
184,184,user_184,18-29,0.0,5.15,0.0,940.46,559.8,127.83,9.43,4.79,30.950000000000003,91.44999999999999,0.0,490.0899999999999,60.839999999999996,116.77,838.2600000000001
185,185,user_185,18-29,0.0,0.0,0.0,75.0,183.18,69.1,0.0,0.0,97.59,28.28,0.0,544.7800000000001,0.0,0.0,15.32
186,186,user_186,40-49,0.0,41.57,0.0,347.68,93.55,0.0,0.0,0.0,0.0,42.96,0.0,138.05,0.0,12.370000000000001,0.0
187,187,user_187,30-39,2.55,94.41999999999999,0.0,403.67,853.07,0.0,43.25,8.5,22.08,759.99,0.0,462.09000000000003,0.0,487.3900000000001,1527.1799999999998
188,188,user_188,18-29,0.0,0.0,0.0,16.13,0.0,0.0,0.0,0.0,0.0,6.16,0.0,0.0,0.0,0.6,0.0
