,user_settings_crypto_unlocked,plan,attributes_notifications_marketing_push,attributes_notifications_marketing_email,num_contacts,brand,southern_europe,western_europe,northern_europe ,central_eastern_europe,age
40,0,0,1.0,1.0,2,0,0,0,0,1,47
41,0,0,1.0,1.0,0,1,0,1,0,0,38
42,1,0,1.0,1.0,0,0,0,1,0,0,31
43,1,0,1.0,1.0,12,1,1,0,0,0,23
44,0,0,1.0,1.0,21,0,0,1,0,0,26
45,0,0,1.0,1.0,7,0,0,0,0,1,38
46,0,0,1.0,1.0,65,0,1,0,0,0,27
47,0,0,1.0,1.0,14,1,0,0,0,1,40
48,0,0,1.0,1.0,0,0,0,0,0,1,43
49,0,0,1.0,1.0,1,1,0,1,0,0,25
50,0,0,1.0,1.0,1,0,0,1,0,0,33
51,0,0,1.0,1.0,119,0,1,0,0,0,40
52,0,0,1.0,1.0,5,0,0,1,0,0,35
53,0,0,1.0,1.0,70,1,0,1,0,0,21
54,0,0,1.0,1.0,5,0,0,1,0,0,35
55,0,0,1.0,1.0,0,1,0,0,0,1,49
56,0,0,1.0,1.0,0,0,0,1,0,0,45
57,0,0,1.0,1.0,0,0,0,1,0,0,61
58,0,0,1.0,1.0,73,1,0,1,0,0,29
59,0,0,1.0,1.0,10,1,0,1,0,0,54
60,0,0,1.0,1.0,19,0,0,1,0,0,21
61,0,0,1.0,1.0,20,0,0,0,0,1,32
62,0,0,1.0,1.0,31,1,0,1,0,0,59
63,0,0,1.0,1.0,0,1,0,0,0,1,30
64,0,0,1.0,1.0,0,0,0,0,0,1,30
65,0,0,1.0,1.0,16,0,0,0,0,1,35
66,0,0,1.0,1.0,51,1,1,0,0,0,25
67,0,0,1.0,1.0,26,1,1,0,0,0,62
68,0,0,1.0,1.0,79,0,0,1,0,0,26
69,0,0,0.0,0.0,0,1,0,1,0,0,27
70,1,0,1.0,1.0,3,1,0,0,0,1,31
71,0,0,1.0,1.0,0,1,0,0,0,1,45
72,0,0,1.0,1.0,55,1,0,1,0,0,29
73,0,0,1.0,1.0,13,1,0,1,0,0,32
74,0,0,1.0,1.0,0,1,0,1,0,0,26
75,0,0,0.0,1.0,3,0,0,1,0,0,24
76,1,0,1.0,1.0,18,1,0,1,0,0,20
77,1,0,1.0,1.0,9,1,1,0,0,0,45
78,0,0,1.0,0.0,18,1,0,1,0,0,48
79,0,0,1.0,1.0,0,0,0,1,0,0,43
80,1,0,1.0,1.0,19,0,0,0,0,1,28
81,0,0,1.0,1.0,16,0,0,1,0,0,22
82,0,0,1.0,1.0,9,1,0,1,0,0,32
83,0,0,1.0,1.0,39,1,0,1,0,0,23
84,0,0,1.0,1.0,11,1,0,1,0,0,28
85,0,0,1.0,1.0,73,1,0,0,0,1,30
86,0,0,1.0,1.0,5,0,0,1,0,0,38
87,1,0,1.0,1.0,56,0,0,0,0,1,46
88,0,0,1.0,1.0,11,0,0,1,0,0,21
89,0,0,1.0,1.0,12,1,1,0,0,0,27
90,1,0,1.0,1.0,68,0,1,0,0,0,34
91,0,0,1.0,1.0,0,0,0,1,0,0,43
92,1,1,1.0,1.0,18,1,0,1,0,0,35
93,1,0,1.0,1.0,0,1,0,0,0,0,28
94,0,0,1.0,0.0,21,0,0,0,0,0,24
95,0,0,1.0,0.0,0,1,0,1,0,0,22
96,1,0,1.0,1.0,0,0,0,0,0,1,29
97,0,0,1.0,1.0,4,0,0,1,0,0,36
98,0,0,0.0,0.0,9,0,0,1,0,0,39
99,0,0,1.0,1.0,2,0,0,0,0,1,27
100,0,0,1.0,1.0,0,0,0,1,0,0,34
101,0,0,1.0,1.0,0,1,0,1,0,0,45
102,0,0,1.0,1.0,5,0,0,0,0,0,29
103,0,0,1.0,1.0,0,1,0,1,0,0,45
104,0,0,1.0,1.0,4,0,0,1,0,0,55
105,0,0,1.0,1.0,3,0,0,0,0,1,34
106,0,0,1.0,1.0,5,0,0,0,0,1,47
107,0,1,1.0,1.0,5,1,0,1,0,0,42
108,1,0,1.0,1.0,14,1,0,1,0,0,25
109,0,0,1.0,1.0,0,1,0,0,0,1,31
110,0,1,1.0,1.0,0,0,0,1,0,0,29
111,1,1,1.0,1.0,62,1,0,1,0,0,27
112,0,0,1.0,1.0,40,1,0,1,0,0,26
113,0,0,1.0,1.0,8,1,0,1,0,0,28
114,0,0,1.0,1.0,54,1,0,1,0,0,32
115,0,0,1.0,1.0,0,0,0,1,0,0,52
116,0,1,1.0,1.0,115,0,0,1,0,0,35
117,0,0,1.0,1.0,5,0,0,1,0,0,78
118,0,0,1.0,1.0,4,0,0,1,0,0,30
119,0,0,1.0,1.0,35,0,0,0,0,0,46
120,0,0,1.0,1.0,64,0,0,0,0,0,37
121,0,0,1.0,1.0,15,1,0,0,0,1,46
122,0,0,1.0,1.0,0,0,0,1,0,0,38
123,0,0,1.0,1.0,0,1,0,1,0,0,22
124,0,0,1.0,1.0,3,1,0,1,0,0,70
125,0,0,1.0,1.0,0,0,0,1,0,0,40
126,0,0,1.0,1.0,7,0,1,0,0,0,33
127,0,0,1.0,1.0,28,0,1,0,0,0,27
128,0,0,1.0,1.0,0,1,0,1,0,0,25
129,0,0,1.0,1.0,8,1,0,1,0,0,23
130,0,0,1.0,1.0,0,0,0,0,0,1,29
131,0,0,1.0,1.0,0,1,0,1,0,0,40
132,0,0,1.0,1.0,91,0,1,0,0,0,35
133,0,0,1.0,1.0,98,0,1,0,0,0,29
134,0,0,1.0,1.0,0,0,0,1,0,0,53
135,1,0,0.0,1.0,0,0,1,0,0,0,25
136,0,0,1.0,1.0,3,0,0,1,0,0,30
137,0,0,1.0,1.0,0,0,1,0,0,0,53
138,1,0,1.0,1.0,2,1,0,1,0,0,26
139,0,0,1.0,1.0,0,0,0,0,0,0,38
140,0,0,1.0,0.0,0,1,0,1,0,0,25
141,0,0,1.0,1.0,51,1,0,0,0,1,40
142,0,0,1.0,0.0,0,0,0,1,0,0,28
143,1,0,1.0,1.0,0,0,0,1,0,0,38
144,0,0,1.0,1.0,30,0,0,0,0,1,26
145,0,0,1.0,1.0,3,0,0,0,0,1,26
146,0,0,1.0,1.0,0,1,0,1,0,0,39
147,0,0,1.0,1.0,0,1,0,1,0,0,37
148,0,0,1.0,0.0,4,0,0,0,0,0,28
149,0,0,1.0,1.0,0,1,0,1,0,0,34
150,0,0,1.0,0.0,47,1,0,0,0,1,49
151,0,0,0.0,0.0,0,0,1,0,0,0,60
152,0,1,1.0,1.0,15,1,1,0,0,0,52
153,1,0,1.0,1.0,0,0,0,1,0,0,34
154,0,0,1.0,1.0,23,0,0,1,0,0,24
155,1,1,1.0,1.0,41,0,0,1,0,0,40
156,0,0,1.0,1.0,0,1,0,1,0,0,38
157,0,0,1.0,1.0,0,1,0,1,0,0,63
158,0,0,1.0,1.0,54,1,0,0,0,1,40
159,0,0,1.0,1.0,10,0,0,1,0,0,32
160,0,0,1.0,1.0,0,1,0,1,0,0,61
161,0,0,1.0,1.0,0,0,0,0,0,1,52
162,0,0,1.0,1.0,0,0,0,0,0,0,35
163,0,0,1.0,0.0,0,1,0,1,0,0,48
164,0,1,1.0,1.0,0,1,0,1,0,0,27
165,0,0,1.0,1.0,0,1,0,1,0,0,61
166,0,0,0.0,0.0,0,1,0,1,0,0,30
167,1,0,1.0,1.0,10,0,0,1,0,0,27
168,0,0,1.0,1.0,0,0,0,0,0,1,54
169,0,0,1.0,1.0,6,0,0,1,0,0,39
170,0,0,1.0,1.0,231,1,1,0,0,0,50
171,0,0,1.0,1.0,9,1,1,0,0,0,56
172,0,0,1.0,1.0,0,0,0,1,0,0,48
173,0,0,1.0,1.0,0,0,0,1,0,0,32
174,1,0,0.0,0.0,5,1,0,1,0,0,53
175,0,0,1.0,1.0,0,1,0,1,0,0,36
176,1,0,1.0,1.0,2,1,0,0,0,1,42
177,0,0,1.0,1.0,0,0,0,1,0,0,27
178,0,0,1.0,1.0,16,1,0,1,0,0,49
179,0,0,1.0,1.0,40,0,0,1,0,0,38
180,1,0,1.0,1.0,6,1,0,1,0,0,21
181,1,1,1.0,1.0,73,0,0,0,0,1,40
182,0,0,1.0,1.0,0,0,0,1,0,0,30
183,0,0,1.0,1.0,0,1,0,1,0,0,52
184,0,0,1.0,1.0,19,1,0,0,0,1,23
185,0,0,1.0,1.0,5,1,0,1,0,0,24
186,1,0,1.0,1.0,14,0,0,0,0,1,41
187,1,1,0.0,0.0,57,0,1,0,0,0,38
188,1,0,1.0,1.0,0,0,0,0,0,1,26
189,0,0,1.0,1.0,24,0,0,0,0,1,37
190,0,0,1.0,1.0,0,0,0,1,0,0,20
191,0,0,1.0,1.0,22,0,0,1,0,0,34
192,1,0,1.0,1.0,9,1,0,1,0,0,22
193,0,0,1.0,1.0,13,1,0,1,0,0,23
194,0,0,0.0,1.0,57,1,0,0,0,0,52
195,1,0,1.0,1.0,0,1,0,1,0,0,64
196,1,0,1.0,1.0,0,0,0,1,0,0,35
197,0,0,1.0,1.0,0,0,0,1,0,0,35
198,1,0,1.0,1.0,17,1,0,1,0,0,29
199,0,0,1.0,1.0,0,0,0,1,0,0,40
200,0,0,1.0,1.0,0,0,1,0,0,0,37
201,1,0,1.0,1.0,8,0,1,0,0,0,36
202,0,0,1.0,1.0,32,0,0,1,0,0,31
203,0,0,1.0,1.0,0,1,0,0,0,1,44
204,1,0,1.0,1.0,2,0,0,1,0,0,28
205,0,0,1.0,1.0,0,0,0,0,0,1,26
206,1,0,1.0,1.0,0,0,0,0,0,1,31
207,0,0,1.0,1.0,68,0,1,0,0,0,23
208,1,0,1.0,1.0,62,1,0,1,0,0,30
209,1,0,1.0,1.0,72,1,0,0,0,1,44
210,0,0,1.0,1.0,0,0,0,1,0,0,53
211,0,0,1.0,1.0,0,1,0,1,0,0,46
212,0,0,0.0,1.0,34,1,0,1,0,0,31
213,1,0,1.0,1.0,41,0,1,0,0,0,22
214,0,0,1.0,1.0,12,1,0,1,0,0,41
215,0,0,1.0,1.0,16,0,1,0,0,0,31
216,0,0,1.0,1.0,17,1,0,0,0,1,30
217,0,0,1.0,1.0,0,1,0,0,0,1,32
218,0,0,1.0,1.0,14,0,0,0,0,0,44
219,0,0,1.0,1.0,0,1,0,1,0,0,58
220,0,0,1.0,0.0,0,1,0,1,0,0,57
221,1,0,1.0,1.0,18,0,0,1,0,0,28
222,1,1,1.0,1.0,36,1,0,1,0,0,33
223,0,0,1.0,1.0,33,1,0,0,0,0,49
224,0,0,1.0,1.0,0,1,0,1,0,0,24
225,0,0,0.0,1.0,0,0,0,0,0,1,39
226,0,0,1.0,1.0,0,1,0,1,0,0,29
227,0,0,1.0,1.0,33,1,0,0,0,1,31
228,0,0,1.0,1.0,29,0,0,0,0,1,45
229,0,0,1.0,1.0,7,1,0,0,0,1,27
230,0,0,1.0,1.0,2,1,0,1,0,0,20
231,0,0,1.0,1.0,0,1,0,1,0,0,24
232,0,0,1.0,1.0,31,1,0,1,0,0,28
233,1,0,1.0,1.0,43,0,0,0,0,1,37
234,0,0,1.0,1.0,0,1,0,1,0,0,21
235,0,0,1.0,1.0,16,1,1,0,0,0,29
236,0,0,1.0,1.0,1,1,0,1,0,0,23
237,1,0,1.0,1.0,0,1,0,1,0,0,29
238,1,0,1.0,0.0,0,1,0,0,0,0,32
239,0,0,1.0,1.0,82,1,0,1,0,0,30
240,1,0,1.0,1.0,0,0,0,0,0,1,26
241,0,0,1.0,1.0,2,1,0,1,0,0,79
242,1,0,1.0,1.0,6,0,0,0,0,1,30
243,0,0,1.0,1.0,2,1,0,1,0,0,30
244,1,0,1.0,0.0,6,0,0,0,0,1,42
245,0,0,1.0,1.0,0,1,0,1,0,0,27
246,0,0,1.0,1.0,10,1,0,0,0,1,41
247,1,0,1.0,1.0,25,0,0,1,0,0,35
248,1,1,1.0,1.0,12,0,0,1,0,0,45
249,0,0,1.0,1.0,0,1,0,1,0,0,35
250,0,0,1.0,1.0,36,0,0,0,0,1,29
251,0,0,1.0,1.0,1,0,0,1,0,0,46
252,0,0,1.0,1.0,1,1,0,1,0,0,22
253,0,0,1.0,1.0,0,0,0,1,0,0,52
254,1,1,1.0,1.0,6,1,0,1,0,0,33
255,0,0,1.0,1.0,4,1,0,1,0,0,54
256,0,0,1.0,1.0,0,0,0,1,0,0,76
257,0,0,1.0,1.0,5,0,0,1,0,0,44
258,0,0,1.0,1.0,0,1,0,0,0,1,32
259,0,0,1.0,1.0,20,0,0,0,0,0,38
260,1,0,1.0,1.0,0,0,0,0,0,1,40
261,0,0,1.0,1.0,4,0,0,1,0,0,53
262,0,0,1.0,0.0,1,0,0,0,0,0,66
263,1,0,1.0,1.0,83,0,0,0,0,1,34
264,0,0,1.0,1.0,10,0,0,1,0,0,35
265,0,0,1.0,1.0,47,1,1,0,0,0,28
266,0,0,0.0,1.0,0,1,0,1,0,0,26
267,1,0,1.0,1.0,3,1,0,1,0,0,37
268,0,0,1.0,1.0,6,1,0,1,0,0,42
269,0,0,0.0,0.0,28,0,1,0,0,0,38
270,0,0,1.0,1.0,0,1,0,0,0,0,44
271,0,0,1.0,1.0,18,1,0,1,0,0,36
272,0,0,1.0,1.0,6,0,1,0,0,0,24
273,0,0,1.0,1.0,12,1,0,1,0,0,44
274,1,0,1.0,1.0,6,1,0,1,0,0,25
275,0,0,1.0,1.0,18,1,0,1,0,0,44
276,0,0,1.0,1.0,0,0,0,1,0,0,30
277,0,0,1.0,1.0,15,0,0,1,0,0,30
278,0,0,1.0,1.0,0,0,0,0,0,1,36
279,0,0,1.0,1.0,16,1,0,1,0,0,49
280,0,0,1.0,1.0,88,1,0,1,0,0,31
281,0,0,1.0,1.0,9,0,0,1,0,0,27
282,0,0,1.0,1.0,94,0,0,0,0,1,48
283,0,1,1.0,1.0,252,0,0,0,0,1,41
284,0,0,1.0,0.0,0,1,0,0,0,1,21
285,0,0,1.0,1.0,0,0,0,0,0,1,50
286,0,0,1.0,1.0,17,1,0,1,0,0,32
287,0,0,1.0,1.0,0,1,0,0,0,1,46
288,1,0,1.0,1.0,15,0,1,0,0,0,26
289,0,0,1.0,1.0,0,1,0,1,0,0,36
290,0,0,1.0,1.0,3,0,0,0,0,1,41
291,1,0,1.0,0.0,0,1,0,1,0,0,66
292,0,0,1.0,1.0,50,0,1,0,0,0,31
293,0,0,1.0,1.0,0,0,0,1,0,0,28
294,1,1,1.0,1.0,1,0,0,1,0,0,32
295,1,0,1.0,1.0,5,1,0,1,0,0,27
296,1,1,1.0,1.0,0,0,0,1,0,0,26
297,0,0,1.0,1.0,5,0,1,0,0,0,47
298,0,0,1.0,1.0,29,1,0,0,0,0,40
299,0,0,1.0,1.0,0,1,0,1,0,0,31
300,0,0,1.0,1.0,0,1,0,1,0,0,29
301,0,0,1.0,1.0,0,1,0,1,0,0,36
302,0,0,1.0,1.0,11,1,1,0,0,0,24
303,0,0,1.0,1.0,0,1,0,1,0,0,30
304,0,0,1.0,1.0,0,0,0,0,0,1,47
305,0,0,1.0,1.0,13,0,0,0,0,0,27
306,0,0,1.0,1.0,5,0,0,0,0,0,29
307,1,1,1.0,1.0,15,0,1,0,0,0,25
308,1,1,1.0,1.0,25,0,0,1,0,0,27
309,0,0,1.0,0.0,0,0,0,1,0,0,38
310,0,0,1.0,1.0,12,0,1,0,0,0,28
311,0,0,1.0,1.0,65,0,1,0,0,0,38
312,1,0,1.0,1.0,7,0,0,0,0,1,27
313,0,0,1.0,0.0,0,1,0,1,0,0,23
314,0,0,1.0,1.0,9,1,0,0,0,1,35
315,0,0,1.0,1.0,0,1,0,1,0,0,35
316,0,0,1.0,1.0,4,0,0,0,0,1,38
317,0,0,1.0,1.0,4,0,0,1,0,0,28
318,0,0,1.0,1.0,5,0,0,0,0,1,38
319,0,1,0.0,0.0,61,1,0,1,0,0,37
320,0,0,1.0,1.0,0,0,0,1,0,0,74
321,0,0,1.0,1.0,19,1,0,1,0,0,54
322,0,0,1.0,1.0,0,0,0,0,0,1,31
323,0,0,1.0,1.0,0,1,0,1,0,0,34
324,0,0,1.0,1.0,0,0,0,1,0,0,44
325,0,0,1.0,1.0,15,1,1,0,0,0,35
326,0,0,1.0,1.0,0,1,0,1,0,0,28
327,0,0,1.0,1.0,23,1,0,1,0,0,33
328,0,0,1.0,1.0,39,1,0,1,0,0,34
329,0,0,0.0,0.0,0,0,0,0,0,1,56
330,0,0,1.0,1.0,4,1,0,1,0,0,31
331,0,0,1.0,1.0,0,1,0,1,0,0,25
332,0,0,1.0,1.0,4,1,0,0,0,0,34
333,0,1,1.0,1.0,16,1,0,1,0,0,32
334,0,0,1.0,1.0,4,0,0,1,0,0,29
335,0,0,1.0,1.0,11,0,0,0,0,1,26
336,0,0,1.0,1.0,0,1,0,1,0,0,23
337,1,0,1.0,1.0,17,0,0,0,0,0,27
338,0,0,1.0,1.0,0,1,0,1,0,0,39
339,0,0,1.0,1.0,66,1,0,1,0,0,21
340,0,0,1.0,1.0,0,1,0,1,0,0,39
341,0,0,0.0,1.0,2,1,0,0,0,1,31
342,0,0,1.0,1.0,0,1,0,1,0,0,37
343,0,0,1.0,0.0,12,1,0,1,0,0,25
344,1,0,1.0,0.0,2,0,1,0,0,0,27
345,1,0,1.0,1.0,6,1,0,1,0,0,34
346,0,0,1.0,1.0,17,1,0,1,0,0,34
347,0,0,1.0,1.0,52,0,0,0,0,1,30
348,0,0,1.0,0.0,0,1,0,1,0,0,44
349,0,0,1.0,1.0,0,0,0,1,0,0,31
350,0,1,1.0,1.0,26,0,1,0,0,0,31
351,0,0,1.0,1.0,12,1,0,1,0,0,34
352,0,0,1.0,1.0,44,1,1,0,0,0,23
353,0,0,1.0,0.0,13,0,0,0,0,0,24
354,1,0,0.0,1.0,2,0,0,0,0,1,37
355,0,0,1.0,1.0,0,1,0,1,0,0,75
356,1,0,1.0,1.0,67,1,0,1,0,0,29
357,1,1,1.0,1.0,23,1,0,0,0,1,38
358,0,0,1.0,1.0,29,0,0,0,0,1,62
359,0,1,1.0,1.0,26,1,0,1,0,0,27
360,0,0,1.0,1.0,34,1,0,0,0,0,41
361,1,0,1.0,1.0,7,0,0,0,0,1,32
362,0,0,1.0,0.0,8,1,0,1,0,0,26
363,0,0,1.0,1.0,0,1,0,1,0,0,39
364,0,0,1.0,1.0,19,0,0,0,0,1,29
365,0,0,1.0,0.0,91,1,0,1,0,0,24
366,0,0,1.0,1.0,0,1,0,1,0,0,57
367,0,0,1.0,1.0,0,0,0,0,0,0,25
368,0,0,1.0,1.0,31,1,1,0,0,0,27
369,0,0,1.0,1.0,7,0,1,0,0,0,34
370,0,0,1.0,1.0,14,1,1,0,0,0,33
371,0,0,1.0,1.0,31,0,0,0,0,1,24
372,0,0,1.0,1.0,78,1,1,0,0,0,28
373,0,0,1.0,1.0,12,1,0,1,0,0,23
374,0,0,1.0,1.0,16,1,1,0,0,0,28
375,0,0,1.0,0.0,0,1,0,1,0,0,40
376,0,0,1.0,1.0,0,1,0,0,0,1,25
377,0,0,1.0,1.0,15,0,0,1,0,0,39
378,0,0,1.0,1.0,1,1,0,1,0,0,61
379,0,0,1.0,1.0,0,1,0,1,0,0,37
380,1,0,1.0,1.0,37,1,0,1,0,0,42
381,0,0,1.0,1.0,8,0,0,1,0,0,23
382,0,0,1.0,1.0,0,0,0,1,0,0,32
383,0,0,1.0,1.0,0,1,0,1,0,0,37
384,0,0,1.0,1.0,33,1,0,0,0,1,35
385,0,0,1.0,1.0,0,0,1,0,0,0,25
386,0,0,1.0,1.0,15,0,0,1,0,0,43
387,0,0,1.0,1.0,0,1,0,1,0,0,30
388,0,0,1.0,1.0,0,1,0,0,0,1,42
389,1,0,1.0,1.0,26,0,0,1,0,0,29
390,0,0,1.0,1.0,102,1,0,1,0,0,29
391,1,0,1.0,0.0,2,0,0,1,0,0,33
392,1,0,1.0,1.0,2,0,0,1,0,0,53
393,0,0,1.0,1.0,11,0,0,0,0,1,30
394,0,0,1.0,1.0,0,0,0,0,0,1,31
395,1,0,1.0,1.0,0,0,0,1,0,0,34
396,1,0,1.0,1.0,23,0,0,1,0,0,52
397,0,0,1.0,1.0,5,1,0,1,0,0,28
398,0,0,1.0,1.0,0,1,0,1,0,0,23
399,0,0,1.0,1.0,4,1,0,1,0,0,27
400,0,0,1.0,1.0,9,0,0,0,0,1,31
401,0,0,1.0,1.0,0,1,0,0,0,1,20
402,0,0,1.0,1.0,19,0,0,0,0,0,32
403,0,0,1.0,1.0,120,1,1,0,0,0,32
404,0,0,1.0,1.0,62,0,1,0,0,0,27
405,1,0,0.0,1.0,0,1,0,1,0,0,29
406,0,0,1.0,1.0,45,1,0,0,0,1,35
407,0,0,1.0,1.0,13,0,0,1,0,0,35
408,0,0,1.0,1.0,4,0,1,0,0,0,36
409,0,0,1.0,1.0,0,1,0,1,0,0,32
410,0,0,1.0,1.0,79,1,1,0,0,0,35
411,0,0,1.0,1.0,1,0,0,1,0,0,39
412,0,0,1.0,1.0,7,0,0,0,0,1,43
413,0,0,1.0,1.0,45,1,1,0,0,0,23
414,0,0,1.0,1.0,44,1,1,0,0,0,23
415,0,0,1.0,1.0,17,0,0,1,0,0,23
416,0,0,1.0,1.0,27,1,0,1,0,0,35
417,1,0,1.0,1.0,8,0,0,0,0,1,30
418,0,0,1.0,1.0,11,1,0,1,0,0,45
419,0,0,1.0,1.0,0,0,0,1,0,0,22
420,0,0,1.0,1.0,11,0,1,0,0,0,27
421,0,0,0.0,0.0,12,1,0,0,0,1,42
422,1,0,1.0,1.0,19,0,0,1,0,0,25
423,0,0,1.0,1.0,1,0,0,1,0,0,46
424,0,0,1.0,1.0,0,0,1,0,0,0,29
425,0,0,1.0,1.0,0,0,0,0,0,1,30
426,0,0,1.0,1.0,31,0,0,0,0,1,31
427,1,0,0.0,1.0,0,0,0,0,0,1,31
428,1,0,1.0,1.0,0,0,0,1,0,0,28
429,0,1,1.0,1.0,9,0,0,0,0,0,33
430,1,0,1.0,1.0,0,0,0,1,0,0,28
431,1,0,1.0,1.0,21,0,0,0,0,1,39
432,0,0,1.0,1.0,13,1,0,1,0,0,48
433,0,0,1.0,1.0,25,1,0,1,0,0,26
434,0,0,1.0,1.0,0,1,0,1,0,0,37
435,0,0,1.0,1.0,1,1,0,1,0,0,42
436,1,0,1.0,1.0,4,0,0,0,0,0,26
437,0,0,0.0,1.0,6,0,0,0,0,1,27
438,0,1,1.0,1.0,65,1,1,0,0,0,73
439,0,0,1.0,1.0,0,0,0,1,0,0,64
440,1,0,1.0,1.0,10,0,0,1,0,0,28
441,0,0,1.0,1.0,0,0,0,0,0,1,29
442,0,0,1.0,1.0,0,0,0,1,0,0,51
443,1,0,1.0,1.0,6,1,0,1,0,0,25
444,0,1,1.0,1.0,3,1,0,1,0,0,53
445,0,0,1.0,1.0,6,1,0,1,0,0,20
446,0,0,1.0,1.0,0,1,0,1,0,0,21
447,0,0,0.0,0.0,14,0,0,1,0,0,29
448,0,0,1.0,1.0,0,0,0,1,0,0,30
449,0,0,1.0,1.0,0,1,0,1,0,0,31
450,0,0,1.0,1.0,0,1,0,1,0,0,33
451,0,0,1.0,1.0,9,1,0,1,0,0,34
452,1,0,1.0,1.0,15,0,0,1,0,0,31
453,0,0,1.0,0.0,1,1,0,1,0,0,22
454,0,0,1.0,1.0,9,1,1,0,0,0,41
455,0,0,1.0,1.0,13,0,1,0,0,0,37
456,0,0,1.0,1.0,0,0,1,0,0,0,50
457,1,0,1.0,1.0,2,0,0,0,0,1,24
458,0,0,1.0,1.0,4,0,0,0,0,1,22
459,0,0,1.0,1.0,36,0,1,0,0,0,31
460,0,0,1.0,1.0,17,1,0,0,0,1,26
461,0,0,1.0,0.0,59,0,0,0,0,1,38
462,0,0,1.0,1.0,32,1,0,1,0,0,29
463,0,0,1.0,1.0,52,1,0,1,0,0,27
464,0,0,1.0,1.0,4,0,1,0,0,0,48
465,0,0,1.0,1.0,53,0,1,0,0,0,26
466,0,0,1.0,1.0,16,0,0,1,0,0,24
467,0,0,1.0,1.0,40,1,0,1,0,0,28
468,1,0,1.0,1.0,244,0,1,0,0,0,55
469,0,0,1.0,1.0,0,0,0,1,0,0,48
470,0,0,1.0,1.0,13,0,0,0,0,0,37
471,1,0,1.0,1.0,0,1,0,0,0,0,31
472,1,0,1.0,1.0,5,1,0,1,0,0,24
473,1,1,1.0,1.0,6,0,0,1,0,0,37
474,0,0,1.0,1.0,3,0,0,1,0,0,26
475,1,0,1.0,1.0,0,0,1,0,0,0,39
476,0,0,1.0,1.0,42,1,0,0,0,0,25
477,1,1,1.0,0.0,7,1,0,1,0,0,35
478,0,0,1.0,1.0,0,1,0,1,0,0,57
479,0,0,1.0,1.0,5,1,0,0,0,1,47
480,0,0,1.0,0.0,8,1,1,0,0,0,34
481,0,0,1.0,1.0,55,1,1,0,0,0,22
482,0,0,1.0,1.0,26,0,0,0,0,1,35
483,0,0,1.0,1.0,42,1,0,0,0,1,36
484,0,0,1.0,1.0,381,1,1,0,0,0,34
485,1,0,1.0,1.0,4,0,0,0,0,0,36
486,0,0,1.0,1.0,11,1,0,1,0,0,23
487,0,0,1.0,1.0,0,1,0,1,0,0,27
488,1,0,1.0,1.0,2,0,0,0,0,0,21
489,1,1,1.0,1.0,8,0,0,1,0,0,39
490,0,0,1.0,1.0,5,1,0,1,0,0,53
491,0,0,1.0,1.0,25,0,0,0,0,0,38
492,1,0,1.0,1.0,14,0,0,1,0,0,29
493,0,0,1.0,1.0,0,1,0,1,0,0,22
