,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd,amount_usd
user_1001,0.0,22.13,0.0,563.04,787.63,139.63,20.369999999999997,0.0,203.40999999999997,15.149999999999999,0.0,15.82,0.0,132.42,2657.7799999999997
user_10010,0.0,0.0,0.0,341.8,39.28,86.13999999999999,0.0,7.38,20.3,549.5999999999999,0.0,40.65,0.0,19.72,385.53
user_10011,0.0,0.0,0.0,278.26,317.6000000000001,27.369999999999997,0.0,11.03,407.44000000000005,18.630000000000003,0.0,497.27,0.0,100.71000000000001,792.54
user_10012,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_10014,88.05,107.68999999999998,0.0,315.53,554.3100000000001,26.95,84.77,0.0,48.209999999999994,126.55,0.0,26.27,0.0,4.01,96.15
user_10015,0.0,23.130000000000003,4.71,208.15,0.0,0.0,4.91,0.0,0.0,55.18000000000001,0.0,18.14,0.0,0.0,0.0
user_10016,0.0,0.0,0.0,87.24000000000001,6.6899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,10.67,0.0,0.0,101.25999999999999
user_10019,0.0,23.87,1.83,845.1100000000001,1025.6100000000001,149.39,0.0,93.61,35.2,491.3500000000001,83.51,222.22000000000003,0.0,68.91,902.41
user_1002,0.0,0.0,0.0,151.57999999999998,0.0,0.0,8.66,10.6,0.0,53.63999999999999,0.0,146.25999999999996,11.24,10.0,0.0
user_10021,0.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_10022,0.0,22.3,0.0,1269.3799999999999,309.13000000000005,28.19,17.28,29.799999999999997,42.050000000000004,242.73,5.19,527.97,0.0,115.94999999999999,72.23
user_10023,0.0,0.0,0.0,2762.9700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.59
user_10024,0.0,7.35,0.0,302.2,408.35,162.79,0.0,0.0,0.0,0.0,0.0,321.32,0.0,20.2,34.67
user_10026,0.0,0.0,0.0,26.189999999999998,106.74000000000001,0.0,0.0,6.41,2.13,6.51,0.0,64.32000000000001,0.0,0.0,305.09000000000003
user_10027,0.0,17.82,0.0,104.37,52.62,47.989999999999995,8.7,17.79,72.24000000000001,123.51,0.0,113.86,0.0,96.14,46.19
user_10029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,11.32,0.0,0.0,0.0
user_1003,0.0,16.35,3.5999999999999996,20.0,40.52,5.75,0.0,3.0,0.0,0.0,0.0,245.03999999999996,0.0,5.0,0.0
user_10030,51.06,454.49,0.0,225.54000000000002,901.2299999999999,281.03,711.23,0.0,206.85,1272.0000000000002,119.11,1797.0299999999997,0.0,781.0600000000001,3833.4999999999995
user_10032,0.0,36.36,0.0,56.989999999999995,68.13000000000001,9.36,5.7,0.0,4.56,25.52,0.0,0.0,0.0,5.6,56.64
user_10034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.97,0.0,0.0,0.0
user_10035,0.0,0.0,0.0,225.7,117.11000000000001,0.0,0.0,0.0,0.0,22.15,0.0,10.45,0.0,0.0,447.1499999999999
user_10036,0.0,0.0,0.0,347.46000000000004,299.46000000000004,201.15,0.0,0.0,0.0,219.93,0.0,277.6,0.0,244.77,213.17999999999998
user_1004,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_10040,0.0,0.0,0.0,0.0,151.92,0.0,3.39,0.0,0.0,0.0,0.0,9.54,0.0,0.0,0.0
user_10041,0.0,0.0,0.0,376.63,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.91
user_10042,0.0,0.0,0.0,114.66999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0
user_10043,0.0,0.0,0.0,0.0,804.3,77.12,127.19,0.0,700.1400000000001,829.0,122.55,34.730000000000004,38.0,237.75,3284.04
user_10044,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_10045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.65,0.0,6.97,0.0,0.0,0.0,0.0,0.0
user_10046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.16,0.0,2.81,0.0,5.5,0.0
user_10047,0.0,2.6,0.0,0.0,651.4399999999999,0.0,0.0,0.0,22.07,0.0,0.0,63.779999999999994,0.0,86.33999999999999,1268.4500000000003
user_10048,0.0,3.52,0.0,370.49,27.200000000000003,0.0,0.0,0.0,37.63,14.07,0.0,5.05,0.0,2.26,161.79999999999998
user_10049,0.0,0.0,0.0,206.0,80.22,378.07,11.43,0.0,9.36,103.12,0.0,177.26,0.0,0.0,26.47
user_10050,0.0,41.61,0.0,339.89,57.519999999999996,78.64,0.0,0.0,0.0,123.08000000000001,0.0,83.55,0.0,46.03,443.71000000000004
user_10051,0.0,4.68,0.0,324.65000000000003,466.82000000000005,719.32,39.800000000000004,0.0,37.44,168.17,42.3,455.26000000000005,2.08,55.56,84.42999999999999
user_10052,0.0,34.5,0.0,137.69,10.07,0.0,0.0,0.0,0.0,43.14,0.0,17.650000000000002,0.0,93.0,16.58
user_10053,0.0,11.16,0.0,30.64,319.47,71.05,0.0,847.5799999999999,0.0,104.91,16.26,429.24000000000007,0.0,0.0,0.0
user_10054,0.0,23.21,0.0,42.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.07,0.0,0.0,0.0
user_10055,0.0,0.0,0.0,0.0,0.0,0.0,55.32,0.0,116.6,161.45,0.0,0.0,0.0,0.0,0.0
user_10056,0.0,29.53,0.0,1205.49,224.67,0.0,36.0,13.62,132.81,239.20999999999998,0.0,401.4100000000001,1.49,58.81999999999999,812.5800000000002
user_10057,0.0,0.0,0.0,0.0,45.03,8.01,0.0,0.0,189.76,0.0,0.0,12.6,0.0,0.0,0.0
user_10058,0.0,0.0,0.0,1.79,14.330000000000002,3.31,0.0,0.0,0.0,0.0,0.0,64.4,0.0,18.42,0.0
user_10059,0.0,0.0,0.0,235.95,64.14999999999999,33.87,0.0,0.0,19.57,27.91,0.0,292.11,0.0,23.6,0.0
user_10060,0.0,71.78,1.91,664.9699999999999,1406.0500000000006,475.59,155.39000000000001,441.71,0.0,1282.9699999999998,65.03,724.0500000000002,12.76,497.8099999999999,111.06
user_10062,0.0,20.84,0.0,1124.7699999999993,106.78999999999999,92.09,53.29,0.0,94.43,200.33,0.0,143.35999999999999,0.0,27.08,10.54
user_10064,0.0,0.0,0.0,384.12,6.47,5.02,0.61,0.0,21.3,15.22,0.0,144.58,0.0,7.170000000000001,0.0
user_10065,0.0,0.0,0.0,919.5300000000004,13.700000000000001,9.25,23.220000000000002,7.19,38.86,192.12,0.0,629.4899999999999,1.99,34.78,0.0
user_10066,0.0,0.0,0.0,39.56,252.72000000000003,18.09,83.91000000000001,0.0,13.71,329.43,55.650000000000006,273.40999999999997,0.0,46.58,799.47
user_10067,0.0,63.94,0.0,733.85,33.72,0.0,0.0,0.0,0.0,12.86,0.0,53.779999999999994,0.0,87.53999999999999,697.9300000000001
user_10068,0.0,10.64,0.0,1022.76,363.96,148.93,0.0,0.0,0.0,0.0,0.0,143.52999999999997,0.0,174.03999999999996,60.62
user_10069,0.0,273.17999999999995,0.0,2568.62,2003.8299999999983,730.2100000000002,567.5699999999998,155.57999999999998,1741.0,1354.44,25.54,1241.6200000000003,0.0,1134.8899999999999,850.45
user_10071,0.0,159.06,0.0,616.37,34.55,908.51,0.0,24.62,172.82000000000002,146.58999999999995,4371.06,377.9,2.51,656.2000000000005,796.4199999999998
user_10072,0.0,271.04,4.45,6539.33,771.7899999999998,458.89000000000004,0.0,9.3,119.03,208.54,0.0,703.59,15.0,50.0,298.84000000000003
user_10074,0.0,112.55,65.95,1528.8199999999997,755.3300000000002,149.82999999999998,184.65,0.0,23.75,234.63,40.85,254.35,0.0,276.98,1202.04
user_10075,0.0,93.82,0.0,986.6200000000001,3223.9100000000017,526.13,164.03000000000003,0.0,68.0,176.52,59.41,524.82,6.63,206.07,575.8799999999999
user_10076,0.0,0.0,0.0,51.06,51.69,20.639999999999997,0.0,0.0,0.0,19.450000000000003,0.0,34.660000000000004,4.75,0.0,31.15
user_10077,0.0,0.0,0.0,0.0,15.49,24.67,0.0,18.3,4.24,0.0,0.0,175.67,0.0,3.15,0.0
user_10078,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_1008,0.0,0.0,0.0,102.13,21.4,53.28,0.0,0.0,42.34,42.54,0.0,180.37,0.0,77.71000000000002,0.0
user_10080,0.0,0.0,0.0,0.0,344.44000000000005,95.87,109.65,0.0,0.0,13.53,0.0,136.45,0.0,14.809999999999999,0.0
user_10081,0.0,0.0,0.0,552.62,71.22000000000001,0.0,0.0,14.74,23.68,29.7,28.54,290.58000000000004,0.0,0.0,0.0
user_10082,4.26,0.0,0.0,98.43,4.94,0.0,0.0,0.0,0.0,13.36,0.0,73.98,0.0,0.0,0.0
user_10083,22.63,3.32,0.0,117.53999999999999,1082.51,77.17,39.25,6.77,2.94,462.52,0.0,606.3,6.34,138.32,196.93
user_10085,0.0,152.59,0.0,127.65,0.0,31.840000000000003,21.23,44.3,3.49,258.03,0.0,428.34000000000003,0.0,0.0,0.0
user_10086,0.0,8.03,0.0,0.0,131.96999999999997,34.21,1.7,10.69,0.0,0.0,0.0,23.340000000000003,0.0,36.65,1.67
user_10088,0.0,0.0,0.0,174.01999999999998,69.71000000000001,31.04,0.0,0.0,16.63,44.81,0.0,64.34,0.0,44.129999999999995,0.0
user_10089,0.0,0.0,0.0,454.86,28.980000000000004,215.11,42.55,0.0,11.74,234.80999999999997,0.0,105.15,0.0,17.19,0.0
user_1009,0.0,28.37,0.0,462.34000000000003,126.11000000000001,68.22,43.85,23.83,65.45,316.44,0.0,620.01,0.0,34.11,0.0
user_10090,0.0,28.94,0.0,43.27,434.0099999999998,27.65,15.309999999999999,7.06,6.01,12.2,0.0,283.43999999999994,0.0,104.07000000000001,1123.16
user_10091,0.0,0.0,0.0,17.9,13.52,0.0,0.0,0.0,0.0,0.0,0.0,13.209999999999999,0.0,0.0,0.0
user_10092,5.96,62.949999999999996,4.26,570.69,247.31999999999994,39.82,0.0,0.0,5.88,288.90999999999997,0.0,215.23999999999998,0.0,161.91000000000003,454.41999999999996
user_10093,0.0,40.94,0.0,102.13,18.21,37.6,0.0,7.23,254.3,702.73,38.3,56.79,0.0,134.9,228.09
user_10094,0.0,7.55,18.09,374.67,833.44,114.68,0.0,20.65,215.76,788.6000000000001,0.0,154.01999999999998,0.0,42.25,204.25
user_10095,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,10.139999999999999,0.0,0.0,0.0
user_10096,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,60.94,0.0,47.66,0.0,16.55,0.0
user_10097,0.0,0.0,0.0,4.55,44.11,0.0,0.0,0.0,10.63,39.5,0.0,17.0,0.0,80.0,0.0
user_10098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,96.53,4.97,0.0,0.0
user_10099,0.0,21.32,17.839999999999996,717.1,45.23,22.59,16.51,26.15,57.18,113.37,0.0,355.0400000000001,0.0,38.9,0.0
user_101,0.0,0.0,0.0,199.73000000000002,983.7800000000002,285.89,195.98999999999998,0.0,1073.44,10.33,0.0,209.64999999999998,0.0,552.52,2909.76
user_1010,0.0,0.0,0.0,71.66,101.71,66.61,5.4,0.0,44.26,0.0,0.0,63.459999999999994,0.0,9.350000000000001,15.31
user_10100,0.0,0.0,0.0,344.58000000000004,5.56,0.0,0.0,0.0,0.0,102.03,0.0,36.38999999999999,0.0,0.0,244.01999999999998
user_10101,0.0,46.35,0.0,0.0,222.45999999999995,13.959999999999999,0.0,0.0,164.23000000000002,33.08,0.0,190.74,0.0,65.23,13.99
user_10102,0.0,0.0,0.0,272.46000000000004,200.8,70.31,27.48,0.0,26.38,34.769999999999996,0.0,150.61999999999998,0.0,206.91000000000005,9.13
user_10103,0.0,117.87,0.0,1498.0099999999998,212.94000000000003,100.32000000000001,0.0,0.0,0.0,190.99,0.0,122.31,0.0,160.13000000000002,353.96999999999997
user_10104,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0,296.23,31.68,0.0,94.6,0.0,0.0,0.0
user_10105,0.0,0.0,6.91,0.0,202.85000000000002,58.6,8.03,0.0,0.0,249.25,0.0,24.39,0.0,18.22,0.0
user_10106,0.0,4.0,1111.74,700.96,684.4800000000001,189.81000000000003,21.63,90.93,533.3,544.65,18.21,158.71999999999997,8.19,173.59,4262.9
user_10108,0.0,24.59,0.0,766.92,452.86999999999995,234.11,5.06,0.0,46.730000000000004,233.36999999999998,0.0,65.16,16.66,115.21999999999998,166.68999999999997
user_10109,0.0,0.0,0.0,15.89,79.44,5.359999999999999,0.0,0.0,0.0,0.0,0.0,59.56,0.0,0.0,12.25
user_1011,0.0,70.64,0.0,51.06,624.03,58.47,14.47,49.06,31.91,1764.1900000000003,0.0,93.05000000000001,68.04,86.77000000000001,201.19
user_10110,0.0,0.0,0.0,0.0,20.62,0.0,4.88,113.07,0.0,0.0,0.0,135.67,0.0,0.0,0.0
user_10111,0.0,0.0,0.0,100.0,0.0,938.0,0.0,0.0,0.0,25.11,0.0,19.25,0.0,6.6,0.0
user_10112,0.0,0.0,0.0,26.03,21.73,0.0,67.77,0.0,19.99,25.439999999999998,0.0,58.660000000000004,0.0,108.67,0.0
user_10113,0.0,7.7,88.31999999999998,1076.5,456.4800000000001,41.65,88.18999999999998,0.0,233.82000000000005,848.2900000000001,0.0,823.9699999999998,0.0,94.08,369.31
user_10114,0.0,111.87,3.0,2332.4700000000003,257.35,171.36,46.839999999999996,50.33,39.440000000000005,401.1,0.0,625.5500000000001,22.99,765.79,428.46000000000004
user_10115,0.0,12.77,0.0,0.0,311.09000000000003,0.0,4.93,27.71,0.0,22.970000000000002,0.0,1031.8899999999999,0.0,8.86,0.0
user_10116,0.0,23.7,0.0,159.7,55.910000000000004,0.0,6.99,13.37,26.4,18.61,0.0,259.57,4.84,44.269999999999996,207.19000000000003
user_10117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
user_10118,0.0,78.53,126.61,44.010000000000005,303.13,151.1,137.39,23.39,75.07,720.3699999999999,0.0,885.6700000000002,16.08,390.20000000000005,801.19
user_1012,0.0,1316.21,0.0,244.79000000000002,0.0,236.76,0.0,0.0,356.0,5.85,0.0,1199.5,231.68999999999997,0.0,0.0
user_10120,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
user_10123,0.0,0.0,0.0,183.41,3.6,0.0,101.6,157.33,29.79,168.94,0.0,0.0,0.0,34.2,151.29
user_10125,0.0,0.0,0.0,368.91,14.64,185.66,94.71000000000001,6.81,0.0,92.34,0.0,180.04000000000002,0.0,0.0,0.0
user_10126,0.0,199.37,0.0,1.94,29.790000000000003,9.879999999999999,0.0,0.0,51.13,7.53,0.0,62.94,0.0,0.0,0.0
user_10127,0.0,437.34,0.0,167.09,486.13,29.119999999999997,59.59,18.759999999999998,63.449999999999996,1713.81,0.0,153.39,1.75,142.35,192.34
user_10129,0.0,34.04,6.640000000000001,87.4,51.699999999999996,5.96,0.0,0.0,0.0,137.99,0.0,208.97999999999996,0.0,0.0,4.26
user_1013,0.0,29.79,1.84,2459.3300000000004,614.9199999999998,341.03999999999996,105.15,0.0,38.1,452.53999999999996,0.0,540.7700000000002,0.0,713.4300000000002,1678.6400000000003
user_10130,0.0,1.12,0.0,29.83,164.09000000000003,2.7,2.07,0.0,0.0,355.64,0.0,149.31,0.0,169.22,42.8
user_10131,0.0,0.0,0.0,344.31,52.13,0.0,0.0,0.9,0.0,0.0,0.0,30.400000000000002,0.0,7.7,236.52
user_10132,0.0,12.13,0.0,0.0,20.810000000000002,0.0,0.0,0.0,0.0,75.17,0.0,40.809999999999995,6.51,0.0,1028.16
user_10133,0.0,386.46999999999997,5.02,1031.08,1303.27,103.8,19.71,296.33,155.6,205.2,0.0,479.74000000000007,3.83,167.14999999999998,488.32000000000005
user_10134,0.0,226.59,18.98,313.5,336.65999999999997,156.07,20.89,29.23,60.45,535.0300000000001,17.05,308.5,0.0,15.64,0.0
user_10135,0.0,0.0,0.0,475.66999999999996,1295.8700000000001,443.15,2.19,0.0,239.68,1418.95,76.97,325.71000000000004,0.0,164.9,5036.82
user_10136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0
user_10137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,0.0
user_10138,0.0,0.0,0.0,1104.0100000000002,1313.6699999999998,124.28999999999999,0.0,4.3,0.0,91.09,0.0,408.38999999999993,0.0,0.0,471.21
user_1014,0.0,0.0,0.0,8.88,22.24,2.13,36.86,2.38,0.0,25.470000000000002,0.0,52.14,0.0,0.0,0.0
user_10143,0.0,0.0,149.79,259.57,111.22999999999999,10.64,11.87,0.0,0.0,23.81,0.0,44.779999999999994,0.0,49.510000000000005,411.94
user_10144,0.0,489.98,3242.85,261.1,965.4999999999999,13.22,124.52,0.0,133.3,1160.66,73.42,496.6799999999999,0.0,300.77000000000004,450.18
user_10145,26.65,193.76,0.0,295.58,1547.1299999999999,191.11,51.43,0.0,117.78999999999999,310.3,101.1,391.75999999999993,0.0,249.98,3642.9400000000014
user_10146,0.0,0.0,0.0,391.06,659.1800000000001,181.47,49.18,0.0,8.3,259.56,0.0,250.32,30.87,166.76000000000002,1165.02
user_10147,0.0,128.56,4.66,1167.0199999999998,275.96,44.09,54.91,0.0,54.019999999999996,914.31,3.02,1069.79,14.139999999999997,334.83999999999975,44.25
user_10148,0.0,57.75,0.0,0.58,288.27000000000004,105.8,6.91,0.0,0.0,59.66,0.0,70.86,66.48,55.1,0.0
user_1015,0.0,0.0,0.0,0.0,51.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12,0.0
user_10150,0.0,38.67,0.0,1871.47,77.8,123.21999999999998,194.75,0.0,69.14999999999999,140.14,0.0,736.0099999999998,112.44,65.95,2196.8799999999997
user_10152,13.64,9.45,2.63,5165.78,306.61999999999995,196.81,138.56,0.0,333.6,341.37,0.0,320.48,0.0,478.1099999999999,3815.7599999999993
user_10153,0.0,0.0,0.0,17.02,7.23,272.33,0.0,0.0,0.0,35.15,0.0,16.09,0.0,0.0,0.0
user_10154,0.0,0.79,0.0,58.11,200.79000000000005,0.0,2.98,0.0,14.26,2.58,0.0,279.97999999999996,0.0,49.82000000000001,0.0
user_10155,0.0,0.0,0.0,10.0,72.19,0.0,0.0,0.0,0.0,0.0,0.0,21.77,0.0,10.129999999999999,0.0
user_10156,0.0,15.899999999999999,0.0,0.0,181.13999999999996,20.28,50.74,32.62,6.96,10.82,5.16,497.8499999999999,14.43,75.55999999999999,0.0
user_10157,0.0,5.99,2.9,0.0,71.14,20.1,0.0,0.0,119.23999999999998,4.99,0.0,324.06999999999994,0.0,4.5,8.64
user_10160,0.0,0.0,0.0,504.91999999999996,105.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.21
user_10161,0.0,5.95,0.0,384.7,273.14000000000004,11.6,39.97,0.0,67.16000000000001,470.04,0.0,314.23999999999995,0.0,27.68,90.16000000000001
user_10162,0.0,0.0,0.0,85.11,101.32000000000001,0.0,0.0,0.0,34.04,0.0,250.21,184.34,0.0,0.0,529.61
user_10163,0.0,187.02,0.0,125.03,108.42,37.49,62.650000000000006,20.43,72.94,140.41000000000005,19.15,964.4399999999994,28.5,7.66,0.0
user_10166,0.0,20.0,0.0,0.0,204.79,76.42999999999999,0.0,0.0,152.5,393.54999999999995,0.0,143.13,0.0,141.4,387.18
user_10167,0.0,16.85,38.550000000000004,0.0,103.55000000000001,68.52,253.25999999999996,40.42,9.02,580.3199999999999,0.0,1180.1599999999994,0.0,87.41,16.17
user_10170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.23000000000002,0.0,0.0,0.0,0.0,0.0
user_10172,0.0,0.0,0.0,481.63999999999993,275.56999999999994,45.67,32.01,0.0,200.13,0.0,0.0,111.22,157.01999999999998,64.0,66.84
user_10173,0.0,10.0,232.89999999999986,149.04,806.8600000000001,326.18,4.39,0.0,26.060000000000002,0.0,0.0,313.2399999999999,0.0,568.7,245.45999999999998
user_10174,0.0,0.0,0.0,576.02,270.64,77.58,9.95,0.0,0.0,108.37,0.0,303.52,0.0,139.15,51.620000000000005
user_10175,0.0,80.86999999999999,105.96,3982.6200000000003,1361.9699999999991,137.93,273.77,230.07,624.3099999999998,186.23,49.36,384.42,81.14,246.89,1819.4999999999998
user_10176,0.0,11.48,0.0,1170.48,62.809999999999995,15.99,0.0,200.0,163.2,363.03,0.0,123.58,0.0,56.650000000000006,0.0
user_10177,0.0,6.77,0.0,496.09000000000003,450.72999999999996,32.35,8.51,0.0,71.18,5.19,0.0,167.42000000000002,11.57,242.42000000000002,903.3199999999999
user_10178,0.0,0.0,0.0,17.02,16.17,0.0,0.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0,0.0
user_10179,0.0,45.480000000000004,0.0,168.29,195.36,11.81,0.0,0.0,1.99,514.88,0.0,668.45,3.95,104.53000000000002,51.96
user_10180,0.0,28.09,0.0,165.1,246.67,0.0,27.15,31.310000000000002,63.92,57.17,0.0,131.18,0.0,45.35000000000001,68.57
user_10182,0.0,0.0,0.0,170.21,17.6,5.9399999999999995,28.37,0.0,89.22,0.0,0.0,602.0299999999999,0.0,4.89,0.0
user_10183,0.0,8.99,0.0,68.08,212.51,85.39,5.78,0.0,7.75,40.41,0.0,208.72,0.0,82.47,16.66
user_10185,0.0,0.0,0.0,0.0,97.03999999999999,11.389999999999999,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,13.73
user_10186,18.0,0.0,0.0,100.0,235.98000000000002,0.0,21.119999999999997,18.64,0.0,207.69,106.24,265.81000000000006,0.0,59.3,1211.57
user_10187,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.96,0.0,0.0
user_10188,0.0,35.74,0.0,0.0,232.07000000000002,70.64,97.49,0.0,108.75,194.51,0.0,11.56,9.19,0.0,421.85
user_10189,0.0,4.42,0.0,232.71,40.599999999999994,0.0,6.5,0.0,1.99,39.07,0.0,0.0,0.0,0.0,0.0
user_10191,0.0,0.0,0.0,520.95,84.11,0.0,49.47,0.0,12.11,124.35000000000001,0.0,2.99,0.0,18.98,72.87
user_10192,0.0,0.0,0.0,0.0,0.0,38.28,0.0,0.0,357.45,101.82000000000001,0.0,105.54,0.0,0.0,753.46
user_10193,0.0,0.0,0.0,0.0,0.0,75.91,0.0,0.0,0.0,0.0,12.0,22.419999999999998,0.0,0.0,0.0
user_10194,0.0,0.0,0.0,197.66,167.75,74.42,0.0,0.0,0.0,27.57,0.0,194.9,24.0,0.0,401.08
user_10195,4.0,136.05,27.32,273.3,1947.7999999999997,266.47,112.09,285.8,113.77000000000001,280.0,54.739999999999995,186.93000000000004,1.62,1283.3700000000003,10.02
user_10196,0.0,117.03,11.06,6702.470000000001,3899.4899999999975,494.89000000000004,267.07,184.79999999999998,53.44,990.8599999999998,20.38,964.2399999999998,0.0,1383.660000000001,714.8199999999999
user_10198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.53,0.0,0.0,0.0
user_10199,0.0,0.0,0.0,0.0,150.34000000000003,0.0,0.0,0.0,0.0,151.59,0.0,22.82,0.0,8.26,0.0
user_102,0.0,0.0,0.0,25.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,59.629999999999995,0.0,0.0,0.0
user_1020,0.0,0.0,0.0,0.0,326.13999999999993,57.269999999999996,0.0,0.0,0.0,466.7200000000001,0.0,154.28,0.0,0.0,0.0
user_10200,0.0,0.0,0.0,80.88,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_10201,0.0,0.0,11.49,198.27999999999997,677.1599999999999,151.10000000000002,15.54,32.06,5.69,0.0,7.98,459.72,0.0,49.45,92.74000000000001
user_10204,0.0,0.0,0.0,20.96,7.15,2.81,0.0,0.0,0.0,128.81,0.0,0.64,0.0,0.0,0.0
user_10207,0.0,0.0,0.0,5135.669999999998,43.769999999999996,5.31,0.0,0.0,37.93,57.94,0.0,51.43,0.0,232.66,1.39
user_10208,0.0,0.0,0.0,677.06,50.790000000000006,0.0,12.43,0.0,0.0,1.34,0.0,0.0,0.0,0.0,163.68
user_10209,0.0,2.95,0.0,655.57,876.7200000000003,187.31,26.529999999999998,5.0,534.26,265.90000000000003,0.0,260.94999999999993,0.0,251.24,794.1000000000001
user_1021,0.0,544.87,0.0,218.82999999999998,764.76,258.93,248.02,49.34,53.77,378.9599999999999,0.0,530.3799999999999,10.64,81.92999999999999,647.42
